Feature,Importance,Emiten,Scenario,Category,Feature Name
X2,0.011669658062715126,BBRI,fusion,Technical,High Price
X3,0.023495600232432516,BBRI,fusion,Technical,Low Price
X4,0.0106883125228079,BBRI,fusion,Technical,Volume
X5,0.041989660534565765,BBRI,fusion,Technical,MACD
X6,0.020116952302480687,BBRI,fusion,Technical,RSI
X7,0.011038493804285678,BBRI,fusion,Sentiment,Prob. Positif
X8,0.01355317272943084,BBRI,fusion,Sentiment,Prob. Negatif
X9,0.007523908524946273,BBRI,fusion,Sentiment,Freq. Positive
X10,0.02208062626049561,BBRI,fusion,Sentiment,Freq. Negative
Yt,0.03356395446118528,BBTN,fusion,Technical,Close Price
X1,0.06996590461565183,BBTN,fusion,Technical,Open Price
X2,0.008378040318986165,BBTN,fusion,Technical,High Price
X3,0.019003151030200234,BBTN,fusion,Technical,Low Price
X4,0.05608742786837846,BBTN,fusion,Technical,Volume
X5,0.037586408910214884,BBTN,fusion,Technical,MACD
X6,0.010409636215154831,BBTN,fusion,Technical,RSI
X7,0.02894819641157929,BBTN,fusion,Sentiment,Prob. Positif
X8,0.015222044873697967,BBTN,fusion,Sentiment,Prob. Negatif
X9,0.014736140470309146,BBTN,fusion,Sentiment,Freq. Positive
X10,0.017579605794797754,BBTN,fusion,Sentiment,Freq. Negative
Yt,0.03251269152977421,BMRI,fusion,Technical,Close Price
X1,0.022374957094129715,BMRI,fusion,Technical,Open Price
X2,0.02826661190002283,BMRI,fusion,Technical,High Price
X3,0.020366525239592453,BMRI,fusion,Technical,Low Price
X4,0.011508147848770021,BMRI,fusion,Technical,Volume
X5,0.00431503393733874,BMRI,fusion,Technical,MACD
X6,0.016129191832530407,BMRI,fusion,Technical,RSI
X7,0.019907491167946427,BMRI,fusion,Sentiment,Prob. Positif
X8,0.009562176226195363,BMRI,fusion,Sentiment,Prob. Negatif
X9,0.015142708406413703,BMRI,fusion,Sentiment,Freq. Positive
X10,0.005166348728902705,BMRI,fusion,Sentiment,Freq. Negative
Yt,0.007033091724635548,BRIS,fusion,Technical,Close Price
X1,0.017090308872380305,BRIS,fusion,Technical,Open Price
X2,0.03395375200565625,BRIS,fusion,Technical,High Price
X3,0.01477411307396878,BRIS,fusion,Technical,Low Price
X4,0.009375073725411246,BRIS,fusion,Technical,Volume
X5,0.02674172700811013,BRIS,fusion,Technical,MACD
X6,0.02389041202146691,BRIS,fusion,Technical,RSI
X7,0.009469870244409697,BRIS,fusion,Sentiment,Prob. Positif
X8,0.007196636714525801,BRIS,fusion,Sentiment,Prob. Negatif
X9,0.024083628857322827,BRIS,fusion,Sentiment,Freq. Positive
X10,0.008724055358308471,BRIS,fusion,Sentiment,Freq. Negative
Yt,0.020656359384693842,GOTO,fusion,Technical,Close Price
X1,0.01668521663707537,GOTO,fusion,Technical,Open Price
X2,0.01759932526318217,GOTO,fusion,Technical,High Price
X3,0.012936387993238102,GOTO,fusion,Technical,Low Price
X4,0.00937450655247992,GOTO,fusion,Technical,Volume
X5,0.023949728149085376,GOTO,fusion,Technical,MACD
X6,0.017364523911670038,GOTO,fusion,Technical,RSI
X7,0.022347147425315045,GOTO,fusion,Sentiment,Prob. Positif
X8,0.02122136769428651,GOTO,fusion,Sentiment,Prob. Negatif
X9,0.017159692434422873,GOTO,fusion,Sentiment,Freq. Positive
X10,0.009151779579580405,GOTO,fusion,Sentiment,Freq. Negative
